"licence_numbers","business_name","name_of_license","premise_address","Postal.Code","Lat","Long"
"SE18184V000","Hao mart","HAO MART PTE. LTD.","448/450 GEYLANG ROAD, S(389407)","389407",1.31317460794729,103.8836465666
"SE18544L000","Jmd retail","JMD RETAIL PTE. LTD.","330 TANJONG KATONG ROAD, S(437106)","437106",1.30416447022908,103.896326993346
"SE19104A000","Fairprice finest","NTUC FAIRPRICE CO-OPERATIVE LTD","78 AIRPORT BOULEVARD #B2-206,#B2-205,#B2-207,#B2-208, S(819666)","819666",1.36023106736765,103.989457201894
"SE19557P000","The seafood market place by song fish","SONG FISH DEALER PTE LTD","10 PAYA LEBAR ROAD #B2-11, S(409057)","409057",1.31756115921,103.892836694432
"SE19562A000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","10 PAYA LEBAR ROAD #B2-09, S(409057)","409057",1.31756115921,103.892836694432
"SNE19006A000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","602A TAMPINES AVENUE 9 #01-01, S(521602)","521602",1.36113645824177,103.937425593435
"SNE19019L000","Prime supermarket","PRIME SUPERMARKET (1996) PTE LTD","322 SUMANG WALK #01-07, MULTI STOREY CAR PARK S(820322)","820322",1.41124703512714,103.897501361265
"SNE20031P000","U stars supermarket","U STARS SUPERMARKET PTE. LTD.","829 TAMPINES STREET 81 #01-272,#01-274,#01-276,#01-278, TAMPINES GROVE S(520829)","520829",1.34922419580696,103.934912515373
"SNE20033L000","Danisha trading","DANISHA TRADING PTE. LTD.","476 UPPER SERANGOON VIEW #02-14, HOUGANG CAPEVIEW S(530476)","530476",1.37743337773735,103.903713550367
"SNE20045C000","The foodcellar","CLEMENTS FOODCELLAR PTE. LTD.","39 LOWLAND ROAD, LOWLAND GARDEN S(547441)","547441",1.36140252859334,103.883163889476
"SNE20089B000","Our boss","OURBOSS PTE. LTD.","625 ELIAS ROAD #01-330, ELIAS MALL S(510625)","510625",1.37860239032585,103.941978177673
"SNE20114L000","Redman by phoon huat","PHOON HUAT PTE. LTD.","1 PASIR RIS CLOSE #01-101, E!HUB@DOWNTOWN EAST S(519599)","519599",1.3766980678365,103.95514122442
"SNE20115K000","Pandamart","DELIVERY HERO STORES (SINGAPORE) PTE. LTD.","756 UPPER SERANGOON ROAD #01-09,#01-10,#01-11,#01-12,#01-13,#01-14, UPPER SERANGOON SHOPPING CENTRE S(534626)","534626",1.35348082277147,103.878828134896
"SNE20117E000","Pandamart","DELIVERY HERO STORES (SINGAPORE) PTE. LTD.","500 NEW PUNGGOL ROAD #01-03,#01-04,#01-05, THE PUNGGOL SETTLEMENT S(828617)","828617",1.42088392750942,103.912199519838
"SNE21004N000","Jo market","JO MARKET","505 TAMPINES CENTRAL 1 #01-333,#01-335, S(520505)","520505",1.3555484823662,103.945616071023
"SNE21016E000","Don don donki","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","1 PASIR RIS CLOSE #01-339,#01-347, E!HUB@DOWNTOWN EAST S(519599)","519599",1.3766980678365,103.95514122442
"SNE21038P000","Ace dynamic","ACE DYNAMIC HOLDINGS PTE. LTD.","151 LORONG CHUAN #01-22, NEW TECH PARK S(556741)","556741",1.35206196118771,103.860698338514
"SNE21044V000","Prime supermarket","PRIME SUPERMARKET (1996) PTE LTD","610 TAMPINES NORTH DRIVE 1 #01-11, S(520610)","520610",1.36463646143194,103.937173937407
"SNE21047N000","Cut butchery","CAVENDISH SUPPLIES PTE. LTD.","1 MAJU AVENUE #B1-06, MYVILLAGE AT SERANGOON GARDEN S(556679)","556679",1.3652806057289,103.865101220515
